Supplementary Table 1: Detailed Information on Training Set Sequences,,,,,,,,
ID,Organism,Molecule Type,Topology,Description,Genome Type,Length,die,Acronym
NM_004974.4,,,,"NM_004974.4 Homo sapiens potassium voltage-gated channel subfamily A member 2 (KCNA2), transcript variant 1, mRNA",,11829,no,KCNA2
NM_001331017.1,,,,"NM_001331017.1 Homo sapiens eukaryotic translation initiation factor 4E (EIF4E), transcript variant 4, mRNA",,11815,no,EIF4E
NM_001164586.2,,,,"NM_001164586.2 Homo sapiens immunoglobulin like and fibronectin type III domain containing 1 (IGFN1), transcript variant 1, mRNA",,11811,no,IGFN1
NM_016239.4,,,,"NM_016239.4 Homo sapiens myosin XVA (MYO15A), mRNA",,11811,no,MYO15A
NM_198129.3,,,,"NM_198129.3 Homo sapiens laminin subunit alpha 3 (LAMA3), transcript variant 1, mRNA",,11807,no,LAMA3
NM_133465.4,,,,"NM_133465.4 Homo sapiens KIAA1958 (KIAA1958), transcript variant 2, mRNA",,11795,no,KIAA1958
NM_001145418.1,,,,"NM_001145418.1 Homo sapiens tetratricopeptide repeat domain 28 (TTC28), mRNA",,11795,no,TTC28
NM_005909.5,,,,"NM_005909.5 Homo sapiens microtubule associated protein 1B (MAP1B), transcript variant 1, mRNA",,11790,no,MAP1B
NM_001106.4,,,,"NM_001106.4 Homo sapiens activin A receptor type 2B (ACVR2B), mRNA",,11782,no,ACVR2B
NM_001039960.3,,,,"NM_001039960.3 Homo sapiens solute carrier family 4 member 8 (SLC4A8), transcript variant 1, mRNA",,11764,no,SLC4A8
NM_030632.3,,,,"NM_030632.3 Homo sapiens ASXL transcriptional regulator 3 (ASXL3), mRNA",,11760,no,ASXL3
NM_003966.3,,,,"NM_003966.3 Homo sapiens semaphorin 5A (SEMA5A), mRNA",,11755,no,SEMA5A
NR_146331.1,,,,"NR_146331.1 Homo sapiens PKD1P5-LOC105376752 readthrough (PKD1P5-LOC105376752), non-coding RNA",,11747,no,PKD1P5-LOC105376752
NM_001172173.2,,,,"NM_001172173.2 Homo sapiens cysteine and serine rich nuclear protein 3 (CSRNP3), transcript variant 1, mRNA",,11737,no,CSRNP3
NM_020746.5,,,,"NM_020746.5 Homo sapiens mitochondrial antiviral signaling protein (MAVS), transcript variant 1, mRNA",,11731,no,MAVS
NM_004370.6,,,,"NM_004370.6 Homo sapiens collagen type XII alpha 1 chain (COL12A1), transcript variant long, mRNA",,11725,no,COL12A1
NM_006662.3,,,,"NM_006662.3 Homo sapiens Snf2 related CREBBP activator protein (SRCAP), mRNA",,11724,no,SRCAP
NM_001127322.1,,,,"NM_001127322.1 Homo sapiens chromobox 5 (CBX5), transcript variant 1, mRNA",,11723,no,CBX5
NM_001008537.3,,,,"NM_001008537.3 Homo sapiens neurite extension and migration factor (NEXMIF), mRNA",,11717,no,NEXMIF
NM_006267.5,,,,"NM_006267.5 Homo sapiens RAN binding protein 2 (RANBP2), mRNA",,11708,no,RANBP2
NM_005045.4,,,,"NM_005045.4 Homo sapiens reelin (RELN), transcript variant 1, mRNA",,11708,no,RELN
NM_016642.4,,,,"NM_016642.4 Homo sapiens spectrin beta, non-erythrocytic 5 (SPTBN5), mRNA",,11699,no,SPTBN5
NM_001370183.1,,,,"NM_001370183.1 Homo sapiens synaptotagmin-15 (LOC102724488), transcript variant 2, mRNA",,11694,no,LOC102724488
NM_015030.2,,,,"NM_015030.2 Homo sapiens FRY like transcription coactivator (FRYL), mRNA",,11692,no,FRYL
NM_001312686.2,,,,"NM_001312686.2 Homo sapiens leucine rich repeats and immunoglobulin like domains 2 (LRIG2), transcript variant 2, mRNA",,11678,no,LRIG2
NM_014709.4,,,,"NM_014709.4 Homo sapiens ubiquitin specific peptidase 34 (USP34), mRNA",,11675,no,USP34
NM_018229.4,,,,"NM_018229.4 Homo sapiens adaptor related protein complex 5 subunit mu 1 (AP5M1), transcript variant 1, mRNA",,11675,no,AP5M1
NM_001244963.2,,,,"NM_001244963.2 Homo sapiens neuron navigator 2 (NAV2), transcript variant 5, mRNA",,11669,no,NAV2
NM_001145306.2,,,,"NM_001145306.2 Homo sapiens cyclin dependent kinase 6 (CDK6), transcript variant 2, mRNA",,11663,no,CDK6
NM_005006.7,,,,"NM_005006.7 Homo sapiens NADH:ubiquinone oxidoreductase core subunit S1 (NDUFS1), transcript variant 1, mRNA",,11660,no,NDUFS1
NM_015059.2,,,,"NM_015059.2 Homo sapiens talin 2 (TLN2), mRNA",,11650,no,TLN2
NM_001145365.3,,,,"NM_001145365.3 Homo sapiens zinc finger protein 652 (ZNF652), transcript variant 1, mRNA",,11628,no,ZNF652
NR_148703.2,,,,"NR_148703.2 Homo sapiens protein inhibitor of activated STAT 2 (PIAS2), transcript variant 29, non-coding RNA",,11614,no,PIAS2
NM_000138.5,,,,"NM_000138.5 Homo sapiens fibrillin 1 (FBN1), mRNA",,11609,no,FBN1
NM_017780.4,,,,"NM_017780.4 Homo sapiens chromodomain helicase DNA binding protein 7 (CHD7), transcript variant 1, mRNA",,11606,no,CHD7
NM_001170704.2,,,,"NM_001170704.2 Homo sapiens muscleblind like splicing regulator 3 (MBNL3), transcript variant 6, mRNA",,11594,no,MBNL3
NM_004519.4,,,,"NM_004519.4 Homo sapiens potassium voltage-gated channel subfamily Q member 3 (KCNQ3), transcript variant 1, mRNA",,11583,no,KCNQ3
NM_000949.7,,,,"NM_000949.7 Homo sapiens prolactin receptor (PRLR), transcript variant 1, mRNA",,11581,no,PRLR
NM_001080432.3,,,,"NM_001080432.3 Homo sapiens FTO alpha-ketoglutarate dependent dioxygenase (FTO), transcript variant 3, mRNA",,11573,no,FTO
NM_006933.7,,,,"NM_006933.7 Homo sapiens solute carrier family 5 member 3 (SLC5A3), mRNA",,11566,no,SLC5A3
NM_001330260.2,,,,"NM_001330260.2 Homo sapiens sodium voltage-gated channel alpha subunit 8 (SCN8A), transcript variant 3, mRNA",,11559,no,SCN8A
NM_001378328.1,,,,"NM_001378328.1 Homo sapiens cadherin EGF LAG seven-pass G-type receptor 1 (CELSR1), transcript variant 1, mRNA",,11559,no,CELSR1
NM_033141.4,,,,"NM_033141.4 Homo sapiens mitogen-activated protein kinase kinase kinase 9 (MAP3K9), transcript variant 1, mRNA",,11553,no,MAP3K9
NM_005941.5,,,,"NM_005941.5 Homo sapiens matrix metallopeptidase 16 (MMP16), mRNA",,11551,no,MMP16
NM_145168.3,,,,"NM_145168.3 Homo sapiens short chain dehydrogenase/reductase family 42E, member 1 (SDR42E1), mRNA",,11548,no,SDR42E1
NM_198581.3,,,,"NM_198581.3 Homo sapiens zinc finger CCCH-type containing 6 (ZC3H6), mRNA",,11539,no,ZC3H6
NR_073405.1,,,,"NR_073405.1 Homo sapiens PRKX pseudogene 1 (PRKXP1), non-coding RNA",,11532,no,PRKXP1
NM_001366290.3,,,,"NM_001366290.3 Homo sapiens zinc finger protein 142 (ZNF142), transcript variant 5, mRNA",,11528,no,ZNF142
NM_032511.4,,,,"NM_032511.4 Homo sapiens failed axon connections homolog, metaxin like GST domain containing (FAXC), transcript variant 1, mRNA",,11528,no,FAXC
NM_001109977.3,,,,"NM_001109977.3 Homo sapiens family with sequence similarity 160 member A1 (FAM160A1), transcript variant 1, mRNA",,11517,no,FAM160A1
NM_001354684.2,,,,"NM_001354684.2 Homo sapiens zinc finger and BTB domain containing 25 (ZBTB25), transcript variant 6, mRNA",,11517,no,ZBTB25
NM_005859.5,,,,"NM_005859.5 Homo sapiens purine rich element binding protein A (PURA), mRNA",,11511,no,PURA
NM_025179.4,,,,"NM_025179.4 Homo sapiens plexin A2 (PLXNA2), mRNA",,11508,no,PLXNA2
NM_001012279.3,,,,"NM_001012279.3 Homo sapiens SOGA family member 3 (SOGA3), mRNA",,11487,no,SOGA3
NM_001350162.2,,,,"NM_001350162.2 Homo sapiens testis expressed 15, meiosis and synapsis associated (TEX15), transcript variant 1, mRNA",,11476,no,TEX15
NM_015113.4,,,,"NM_015113.4 Homo sapiens zinc finger ZZ-type and EF-hand domain containing 1 (ZZEF1), mRNA",,11466,no,ZZEF1
NM_007118.4,,,,"NM_007118.4 Homo sapiens trio Rho guanine nucleotide exchange factor (TRIO), transcript variant 1, mRNA",,11460,no,TRIO
NM_172071.4,,,,"NM_172071.4 Homo sapiens ring finger and CCCH-type domains 1 (RC3H1), transcript variant 2, mRNA",,11451,no,RC3H1
NR_136734.1,,,,"NR_136734.1 Homo sapiens ring finger protein 217 (RNF217), transcript variant 4, non-coding RNA",,11447,no,RNF217
NM_012334.3,,,,"NM_012334.3 Homo sapiens myosin X (MYO10), mRNA",,11442,no,MYO10
NM_014240.3,,,,"NM_014240.3 Homo sapiens LIM domains containing 1 (LIMD1), mRNA",,11442,no,LIMD1
NM_005560.6,,,,"NM_005560.6 Homo sapiens laminin subunit alpha 5 (LAMA5), mRNA",,11426,no,LAMA5
NM_024408.4,,,,"NM_024408.4 Homo sapiens notch receptor 2 (NOTCH2), transcript variant 1, mRNA",,11425,no,NOTCH2
NM_018085.5,,,,"NM_018085.5 Homo sapiens importin 9 (IPO9), mRNA",,11416,no,IPO9
NM_001366307.2,,,,"NM_001366307.2 Homo sapiens karyopherin subunit alpha 5 (KPNA5), transcript variant 5, mRNA",,11394,no,KPNA5
NM_031422.6,,,,"NM_031422.6 Homo sapiens carbohydrate sulfotransferase 9 (CHST9), transcript variant 1, mRNA",,11379,no,CHST9
NM_001371910.2,,,,"NM_001371910.2 Homo sapiens mitogen-activated protein kinase kinase kinase 2 (MAP3K2), transcript variant 2, mRNA",,11360,no,MAP3K2
NM_020211.3,,,,"NM_020211.3 Homo sapiens repulsive guidance molecule BMP co-receptor a (RGMA), transcript variant 4, mRNA",,11359,no,RGMA
NM_001204056.1,,,,"NM_001204056.1 Homo sapiens ankyrin repeat domain 12 (ANKRD12), transcript variant 3, mRNA",,11358,no,ANKRD12
NM_020922.4,,,,"NM_020922.4 Homo sapiens WNK lysine deficient protein kinase 3 (WNK3), transcript variant 1, mRNA",,11356,no,WNK3
NM_001017371.5,,,,"NM_001017371.5 Homo sapiens Sp3 transcription factor (SP3), transcript variant 2, mRNA",,11353,no,SP3
NM_001375850.1,,,,"NM_001375850.1 Homo sapiens solute carrier family 24 member 2 (SLC24A2), transcript variant 3, mRNA",,11343,no,SLC24A2
NM_012455.3,,,,"NM_012455.3 Homo sapiens pleckstrin and Sec7 domain containing 4 (PSD4), mRNA",,11342,no,PSD4
NR_130136.2,,,,"NR_130136.2 Homo sapiens TSC22 domain family member 2 (TSC22D2), transcript variant 3, non-coding RNA",,11339,no,TSC22D2
NM_001366854.1,,,,"NM_001366854.1 Homo sapiens transmembrane protein 132B (TMEM132B), transcript variant 3, mRNA",,11325,no,TMEM132B
NM_198570.5,,,,"NM_198570.5 Homo sapiens von Willebrand factor C domain containing 2 (VWC2), transcript variant 1, mRNA",,11322,no,VWC2
NM_020245.5,,,,"NM_020245.5 Homo sapiens TUB like protein 4 (TULP4), transcript variant 1, mRNA",,11318,no,TULP4
NM_001329674.2,,,,"NM_001329674.2 Homo sapiens cullin associated and neddylation dissociated 1 (CAND1), transcript variant 2, mRNA",,11303,no,CAND1
NM_139318.5,,,,"NM_139318.5 Homo sapiens potassium voltage-gated channel subfamily H member 5 (KCNH5), transcript variant 1, mRNA",,11283,no,KCNH5
NM_144597.3,,,,"NM_144597.3 Homo sapiens chromosome 15 open reading frame 40 (C15orf40), transcript variant 1, mRNA",,11274,no,C15orf40
NM_014688.4,,,,"NM_014688.4 Homo sapiens USP6 N-terminal like (USP6NL), transcript variant 1, mRNA",,11273,no,USP6NL
NM_014631.2,,,,"NM_014631.2 Homo sapiens SH3 and PX domains 2A (SH3PXD2A), transcript variant 1, mRNA",,11264,no,SH3PXD2A
NR_163239.1,,,,"NR_163239.1 Homo sapiens FRAS1 related extracellular matrix 1 (FREM1), transcript variant 9, non-coding RNA",,11258,no,FREM1
NM_001145354.2,,,,"NM_001145354.2 Homo sapiens muskelin 1 (MKLN1), transcript variant 1, mRNA",,11250,no,MKLN1
NM_005960.2,,,,"NM_005960.2 Homo sapiens mucin 3A, cell surface associated (MUC3A), mRNA",,11248,no,MUC3A
NM_001351527.1,,,,"NM_001351527.1 Homo sapiens senataxin (SETX), transcript variant 2, mRNA",,11241,no,SETX
NM_001349839.2,,,,"NM_001349839.2 Homo sapiens centrosomal protein 78 (CEP78), transcript variant 7, mRNA",,11236,no,CEP78
NM_001184985.1,,,,"NM_001184985.1 Homo sapiens WNK lysine deficient protein kinase 1 (WNK1), transcript variant 4, mRNA",,11232,no,WNK1
NM_001161346.2,,,,"NM_001161346.2 Homo sapiens checkpoint with forkhead and ring finger domains (CHFR), transcript variant 3, mRNA",,11228,no,CHFR
NR_073526.2,,,,"NR_073526.2 Homo sapiens protein phosphatase 2 regulatory subunit Bbeta (PPP2R2B), transcript variant 11, non-coding RNA",,11223,no,PPP2R2B
NM_001367498.1,,,,"NM_001367498.1 Homo sapiens contactin associated protein family member 5 (CNTNAP5), transcript variant 3, mRNA",,11219,no,CNTNAP5
NM_001010852.4,,,,"NM_001010852.4 Homo sapiens clavesin 2 (CLVS2), mRNA",,11219,no,CLVS2
NM_023073.3,,,,"NM_023073.3 Homo sapiens ciliogenesis and planar polarity effector 1 (CPLANE1), mRNA",,11217,no,CPLANE1
NM_001256487.2,,,,"NM_001256487.2 Homo sapiens golgin B1 (GOLGB1), transcript variant 3, mRNA",,11214,no,GOLGB1
NR_027418.1,,,,"NR_027418.1 Homo sapiens long intergenic non-protein coding RNA 674 (LINC00674), long non-coding RNA",,11210,no,LINC00674
NM_173500.4,,,,"NM_173500.4 Homo sapiens tau tubulin kinase 2 (TTBK2), mRNA",,11208,no,TTBK2
NM_002908.4,,,,"NM_002908.4 Homo sapiens REL proto-oncogene, NF-kB subunit (REL), transcript variant 1, mRNA",,11204,no,REL
NM_001037165.2,,,,"NM_001037165.2 Homo sapiens forkhead box K1 (FOXK1), mRNA",,11194,no,FOXK1
NM_001322937.2,,,,"NM_001322937.2 Homo sapiens dermatan sulfate epimerase (DSE), transcript variant 3, mRNA",,11181,no,DSE
NM_001321099.2,,,,"NM_001321099.2 Homo sapiens post-GPI attachment to proteins inositol deacylase 1 (PGAP1), transcript variant 2, mRNA",,11174,no,PGAP1
NM_005188.4,,,,"NM_005188.4 Homo sapiens Cbl proto-oncogene (CBL), mRNA",,11168,no,CBL
NM_000489.6,,,,"NM_000489.6 Homo sapiens ATRX chromatin remodeler (ATRX), transcript variant 1, mRNA",,11165,no,ATRX
NM_001110.4,,,,"NM_001110.4 Homo sapiens ADAM metallopeptidase domain 10 (ADAM10), transcript variant 1, mRNA",,11158,no,ADAM10
NM_000809.4,,,,"NM_000809.4 Homo sapiens gamma-aminobutyric acid type A receptor subunit alpha4 (GABRA4), transcript variant 1, mRNA",,11147,no,GABRA4
NM_024754.5,,,,"NM_024754.5 Homo sapiens pentatricopeptide repeat domain 2 (PTCD2), transcript variant 1, mRNA",,11145,no,PTCD2
NM_022124.6,,,,"NM_022124.6 Homo sapiens cadherin related 23 (CDH23), transcript variant 1, mRNA",,11138,no,CDH23
NM_001271938.2,,,,"NM_001271938.2 Homo sapiens multiple EGF like domains 8 (MEGF8), transcript variant 1, mRNA",,11137,no,MEGF8
NM_015678.5,,,,"NM_015678.5 Homo sapiens neurobeachin (NBEA), transcript variant 1, mRNA",,11137,no,NBEA
NM_006946.4,,,,"NM_006946.4 Homo sapiens spectrin beta, non-erythrocytic 2 (SPTBN2), mRNA",,11136,no,SPTBN2
NM_024494.3,,,,"NM_024494.3 Homo sapiens Wnt family member 2B (WNT2B), transcript variant WNT-2B2, mRNA",,11130,no,WNT2B
NM_001167856.3,,,,"NM_001167856.3 Homo sapiens strawberry notch homolog 1 (SBNO1), transcript variant 1, mRNA",,11128,no,SBNO1
NM_001371698.1,,,,"NM_001371698.1 Homo sapiens cytochrome P450 family 20 subfamily A member 1 (CYP20A1), transcript variant 5, mRNA",,11104,no,CYP20A1
NM_002830.4,,,,"NM_002830.4 Homo sapiens protein tyrosine phosphatase non-receptor type 4 (PTPN4), mRNA",,11090,no,PTPN4
NM_139078.3,,,,"NM_139078.3 Homo sapiens MAPK activated protein kinase 5 (MAPKAPK5), transcript variant 2, mRNA",,11089,no,MAPKAPK5
NR_146172.2,,,,"NR_146172.2 Homo sapiens zinc finger FYVE-type containing 16 (ZFYVE16), transcript variant 6, non-coding RNA",,11082,no,ZFYVE16
NM_001144952.2,,,,"NM_001144952.2 Homo sapiens sidekick cell adhesion molecule 2 (SDK2), mRNA",,11079,no,SDK2
NM_182641.4,,,,"NM_182641.4 Homo sapiens bromodomain PHD finger transcription factor (BPTF), transcript variant 1, mRNA",,11075,no,BPTF
NM_001317406.2,,,,"NM_001317406.2 Homo sapiens solute carrier family 6 member 11 (SLC6A11), transcript variant 2, mRNA",,11069,no,SLC6A11
NM_130901.3,,,,"NM_130901.3 Homo sapiens OTU deubiquitinase 7A (OTUD7A), transcript variant 1, mRNA",,11066,no,OTUD7A
NM_001286431.2,,,,"NM_001286431.2 Homo sapiens REV3 like, DNA directed polymerase zeta catalytic subunit (REV3L), transcript variant 2, mRNA",,11065,no,REV3L
NM_013318.3,,,,"NM_013318.3 Homo sapiens proline rich coiled-coil 2B (PRRC2B), mRNA",,11062,no,PRRC2B
NM_004442.7,,,,"NM_004442.7 Homo sapiens EPH receptor B2 (EPHB2), transcript variant 2, mRNA",,11057,no,EPHB2
NR_037573.2,,,,"NR_037573.2 Homo sapiens dynactin subunit 5 (DCTN5), transcript variant 3, non-coding RNA",,11055,no,DCTN5
NM_198514.4,,,,"NM_198514.4 Homo sapiens NHL repeat containing 2 (NHLRC2), mRNA",,11051,no,NHLRC2
NM_001354895.2,,,,"NM_001354895.2 Homo sapiens APC regulator of WNT signaling pathway (APC), transcript variant 4, mRNA",,11048,no,APC
NM_001364292.2,,,,"NM_001364292.2 Homo sapiens transportin 1 (TNPO1), transcript variant 3, mRNA",,11044,no,TNPO1
NM_199344.3,,,,"NM_199344.3 Homo sapiens SFT2 domain containing 2 (SFT2D2), mRNA",,11040,no,SFT2D2
NM_182531.4,,,,"NM_182531.4 Homo sapiens zinc finger protein 778 (ZNF778), transcript variant 2, mRNA",,11038,no,ZNF778
NM_018429.3,,,,"NM_018429.3 Homo sapiens B double prime 1, subunit of RNA polymerase III transcription initiation factor IIIB (BDP1), mRNA",,11037,no,BDP1
NM_153810.5,,,,"NM_153810.5 Homo sapiens CDK2 associated cullin domain 1 (CACUL1), mRNA",,11035,no,CACUL1
NM_001370561.1,,,,"NM_001370561.1 Homo sapiens regulatory factor X7 (RFX7), transcript variant 5, mRNA",,11022,no,RFX7
NM_001408.3,,,,"NM_001408.3 Homo sapiens cadherin EGF LAG seven-pass G-type receptor 2 (CELSR2), mRNA",,11015,no,CELSR2
NM_134260.2,,,,"NM_134260.2 Homo sapiens RAR related orphan receptor A (RORA), transcript variant 2, mRNA",,10998,no,RORA
NM_001267843.1,,,,"NM_001267843.1 Homo sapiens clock circadian regulator (CLOCK), transcript variant 1, mRNA",,10981,no,CLOCK
NM_002581.5,,,,"NM_002581.5 Homo sapiens pappalysin 1 (PAPPA), mRNA",,10971,no,PAPPA
NM_019020.4,,,,"NM_019020.4 Homo sapiens TBC1 domain family member 16 (TBC1D16), transcript variant 1, mRNA",,10960,no,TBC1D16
NM_014660.4,,,,"NM_014660.4 Homo sapiens PHD finger protein 14 (PHF14), transcript variant 2, mRNA",,10942,no,PHF14
NR_027671.3,,,,"NR_027671.3 Homo sapiens UDP-glucose glycoprotein glucosyltransferase 1 (UGGT1), transcript variant 2, non-coding RNA",,10942,no,UGGT1
NM_001369391.2,,,,"NM_001369391.2 Homo sapiens methyl-CpG binding protein 2 (MECP2), transcript variant 4, mRNA",,10930,no,MECP2
NM_001999.4,,,,"NM_001999.4 Homo sapiens fibrillin 2 (FBN2), mRNA",,10927,no,FBN2
NM_007249.4,,,,"NM_007249.4 Homo sapiens Kruppel like factor 12 (KLF12), mRNA",,10923,no,KLF12
NM_001080477.4,,,,"NM_001080477.4 Homo sapiens teneurin transmembrane protein 3 (TENM3), mRNA",,10923,no,TENM3
NM_001376542.1,,,,"NM_001376542.1 Homo sapiens SH3GL interacting endocytic adaptor 1 (SGIP1), transcript variant 13, mRNA",,10917,no,SGIP1
NM_001258311.2,,,,"NM_001258311.2 Homo sapiens piggyBac transposable element derived 5 (PGBD5), mRNA",,10914,no,PGBD5
NM_001366850.2,,,,"NM_001366850.2 Homo sapiens stonin 2 (STON2), transcript variant 4, mRNA",,10913,no,STON2
NM_001366019.2,,,,"NM_001366019.2 Homo sapiens CDC42 binding protein kinase alpha (CDC42BPA), transcript variant C, mRNA",,10912,no,CDC42BPA
NM_030961.3,,,,"NM_030961.3 Homo sapiens tripartite motif containing 56 (TRIM56), mRNA",,10910,no,TRIM56
NM_139245.4,,,,"NM_139245.4 Homo sapiens protein phosphatase, Mg2+/Mn2+ dependent 1L (PPM1L), transcript variant 1, mRNA",,10906,no,PPM1L
NR_033289.2,,,,"NR_033289.2 Homo sapiens glycerol kinase 5 (GK5), transcript variant 2, non-coding RNA",,10898,no,GK5
NM_001282873.1,,,,"NM_001282873.1 Homo sapiens ubiquitin protein ligase E3 component n-recognin 5 (UBR5), transcript variant 2, mRNA",,10897,no,UBR5
NM_020859.4,,,,"NM_020859.4 Homo sapiens shroom family member 3 (SHROOM3), mRNA",,10891,no,SHROOM3
NM_022473.2,,,,"NM_022473.2 Homo sapiens zinc finger protein 106 (ZNF106), transcript variant 1, mRNA",,10890,no,ZNF106
NM_001037131.3,,,,"NM_001037131.3 Homo sapiens ArfGAP with GTPase domain, ankyrin repeat and PH domain 1 (AGAP1), transcript variant 1, mRNA",,10889,no,AGAP1
NM_017514.5,,,,"NM_017514.5 Homo sapiens plexin A3 (PLXNA3), mRNA",,10885,no,PLXNA3
NM_002377.4,,,,"NM_002377.4 Homo sapiens MAS1 proto-oncogene, G protein-coupled receptor (MAS1), transcript variant 1, mRNA",,10881,no,MAS1
NM_020772.3,,,,"NM_020772.3 Homo sapiens nuclear FMR1 interacting protein 2 (NUFIP2), mRNA",,10877,no,NUFIP2
NM_018136.5,,,,"NM_018136.5 Homo sapiens assembly factor for spindle microtubules (ASPM), transcript variant 1, mRNA",,10863,no,ASPM
NM_003105.6,,,,"NM_003105.6 Homo sapiens sortilin related receptor 1 (SORL1), mRNA",,10863,no,SORL1
NM_033223.5,,,,"NM_033223.5 Homo sapiens gamma-aminobutyric acid type A receptor subunit gamma3 (GABRG3), transcript variant 1, mRNA",,10862,no,GABRG3
NM_001368062.1,,,,"NM_001368062.1 Homo sapiens otogelin like (OTOGL), transcript variant 2, mRNA",,10859,no,OTOGL
NM_001378183.1,,,,"NM_001378183.1 Homo sapiens piezo type mechanosensitive ion channel component 2 (PIEZO2), transcript variant 1, mRNA",,10859,no,PIEZO2
NM_025205.5,,,,"NM_025205.5 Homo sapiens mediator complex subunit 28 (MED28), mRNA",,10858,no,MED28
NM_001365951.3,,,,"NM_001365951.3 Homo sapiens kinesin family member 1B (KIF1B), transcript variant 3, mRNA",,10855,no,KIF1B
NM_001330314.2,,,,"NM_001330314.2 Homo sapiens solute carrier family 35 member F5 (SLC35F5), transcript variant 3, mRNA",,10829,no,SLC35F5
NM_173566.3,,,,"NM_173566.3 Homo sapiens proline rich 14 like (PRR14L), mRNA",,10827,no,PRR14L
NM_173664.6,,,,"NM_173664.6 Homo sapiens ADP ribosylation factor like GTPase 10 (ARL10), transcript variant 2, mRNA",,10826,no,ARL10
NM_014979.4,,,,"NM_014979.4 Homo sapiens synaptic vesicle glycoprotein 2C (SV2C), transcript variant 1, mRNA",,10824,no,SV2C
NM_001346565.2,,,,"NM_001346565.2 Homo sapiens fidgetin like 1 (FIGNL1), transcript variant 15, mRNA",,10824,no,FIGNL1
NM_024870.4,,,,"NM_024870.4 Homo sapiens phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 2 (PREX2), transcript variant 1, mRNA",,10824,no,PREX2
NM_001291324.3,,,,"NM_001291324.3 Homo sapiens BAH domain and coiled-coil containing 1 (BAHCC1), transcript variant 1, mRNA",,10819,no,BAHCC1
NM_001123226.2,,,,"NM_001123226.2 Homo sapiens mitochondrial tRNA translation optimization 1 (MTO1), transcript variant 3, mRNA",,10818,no,MTO1
NM_014825.3,,,,"NM_014825.3 Homo sapiens URB1 ribosome biogenesis homolog (URB1), mRNA",,10818,no,URB1
NM_001271818.1,,,,"NM_001271818.1 Homo sapiens ORAI calcium release-activated calcium modulator 2 (ORAI2), transcript variant 3, mRNA",,10811,no,ORAI2
NM_001371656.1,,,,"NM_001371656.1 Homo sapiens AT-rich interaction domain 1B (ARID1B), transcript variant 5, mRNA",,10807,no,ARID1B
NM_015306.3,,,,"NM_015306.3 Homo sapiens ubiquitin specific peptidase 24 (USP24), mRNA",,10800,no,USP24
NM_001918.4,,,,"NM_001918.4 Homo sapiens dihydrolipoamide branched chain transacylase E2 (DBT), mRNA",,10799,no,DBT
NM_032217.5,,,,"NM_032217.5 Homo sapiens ankyrin repeat domain 17 (ANKRD17), transcript variant 1, mRNA",,10797,no,ANKRD17
NM_004380.3,,,,"NM_004380.3 Homo sapiens CREB binding protein (CREBBP), transcript variant 1, mRNA",,10790,no,CREBBP
NM_005876.5,,,,"NM_005876.5 Homo sapiens striated muscle enriched protein kinase (SPEG), transcript variant 1, mRNA",,10782,no,SPEG
NM_153605.4,,,,"NM_153605.4 Homo sapiens crystallin beta-gamma domain containing 3 (CRYBG3), mRNA",,10779,no,CRYBG3
NM_007110.5,,,,"NM_007110.5 Homo sapiens telomerase associated protein 1 (TEP1), transcript variant 1, mRNA",,10775,no,TEP1
NM_207344.4,,,,"NM_207344.4 Homo sapiens SPRY domain containing 4 (SPRYD4), mRNA",,10769,no,SPRYD4
NM_023034.2,,,,"NM_023034.2 Homo sapiens nuclear receptor binding SET domain protein 3 (NSD3), transcript variant long, mRNA",,10768,no,NSD3
NM_018593.5,,,,"NM_018593.5 Homo sapiens solute carrier family 16 member 10 (SLC16A10), mRNA",,10757,no,SLC16A10
NM_001370704.1,,,,"NM_001370704.1 Homo sapiens putative uncharacterized protein LOC400499 (LOC400499), mRNA",,10754,no,LOC400499
NM_001480.4,,,,"NM_001480.4 Homo sapiens galanin receptor 1 (GALR1), mRNA",,10749,no,GALR1
NR_144409.2,,,,"NR_144409.2 Homo sapiens RAB11 binding and LisH domain, coiled-coil and HEAT repeat containing (RELCH), transcript variant 15, non-coding RNA",,10748,no,RELCH
NM_018440.4,,,,"NM_018440.4 Homo sapiens phosphoprotein membrane anchor with glycosphingolipid microdomains 1 (PAG1), mRNA",,10744,no,PAG1
NM_001256695.1,,,,"NM_001256695.1 Homo sapiens PR/SET domain 11 (PRDM11), transcript variant 1, mRNA",,10744,no,PRDM11
NM_001317381.2,,,,"NM_001317381.2 Homo sapiens heat shock protein family A (Hsp70) member 4 like (HSPA4L), transcript variant 2, mRNA",,10736,no,Hsp70
NM_181501.2,,,,"NM_181501.2 Homo sapiens integrin subunit alpha 1 (ITGA1), mRNA",,10736,no,ITGA1
NM_001378120.1,,,,"NM_001378120.1 Homo sapiens methyl-CpG binding domain protein 5 (MBD5), transcript variant 1, mRNA",,10732,no,MBD5
NM_001201480.2,,,,"NM_001201480.2 Homo sapiens oxysterol binding protein like 6 (OSBPL6), transcript variant 3, mRNA",,10727,no,OSBPL6
NM_001195278.2,,,,"NM_001195278.2 Homo sapiens transmembrane protein 178B (TMEM178B), mRNA",,10726,no,TMEM178B
NM_032221.5,,,,"NM_032221.5 Homo sapiens chromodomain helicase DNA binding protein 6 (CHD6), mRNA",,10719,no,CHD6
